name,short_name,filename,test,born,died,boat,position,nationality,order
Sir Ernest Shackleton,Shackleton,Shackleton,Test1,1874,1922,James Caird,Commander,Irish,1
Frank Wild,Wild,Wild,Test2,1873,1939,James Caird,Second-in-command,English,2
Frank Worsley,Worsley,Worsley,Test3,1872,1943,Dudley Docker,Captain,New Zealander,3
Frank Hurley,Hurley,Hurley,Test4,1885,1962,James Caird,Photographer,English,4
Hubert Hudson,Hudson,Hudson,Test5,1886,1942,Stancomb Wills,Navigator,English,5
Lionel Greenstreet,Greenstreet,Greenstreet,Test6,1889,1973,Dudley Docker,First officer,English,6
Tom Crean,Crean,Crean,Test7,1877,1938,Stancomb Wills,Second officer,Irish,7
Alfred Cheetham,Cheetham,Cheetham,Test8,1867,1918,Dudley Docker,Third officer,English,8
Lewis Rickinson,Rickinson,Rickinson,Test9,1883,1945,Stancomb Wills,Chief engineer,English,9
Alexander Kerr,Kerr,Kerr,Test10,1892,1964,Dudley Docker,Second engineer,English,10
James McIlroy,McIlroy,McIlroy,Test11,1879,1968,Stancomb Wills,Surgeon,Irish/English,11
Alxander Macklin,Macklin,Macklin,Test12,1889,1967,Dudley Docker,Surgeon,Scottish,12
Robert Clark,Clark,Clark,Test13,1882,1950,James Caird,Biologist,Scottish,13
Leonard Hussey,Hussey,Hussey,Test14,1891,1964,James Caird,Meteorologist,English,14
James Wordie,Wordie,Wordie,Test15,1889,1962,James Caird,Geologist,Scottish,15
Reginald James,James,James,Test16,1891,1964,James Caird,Physicist,English,16
George Marston,Marson,Marson,Test17,1882,1940,Dudley Docker,Artist,English,17
Thomas Orde-Lees,Orde-Lees,Orde-Lees,Test18,1877,1958,Dudley Docker,Motor expert; storekeeper,English,18
Harry “Chippy” McNish,McNish,McNish,Test19,1874,1930,James Caird,Carpenter,Scottish,19
Charles Green,Green,Green,Test20,1888,1974,James Caird,Cook,English,20
William Stephenson,Stephenson,Stephenson,Test21,1889,1889,Stancomb Wills,Fireman; stoker,English,21
Ernest Holness,Holness,Holness,Test22,1892,1953,Dudley Docker,Fireman; stoker,English,22
John Vincent,Vincent,Vincent,Test23,1879,1941,James Caird,Able seaman,English,23
Tomthy McCarthy,McCarthy,McCarthy,Test24,1888,1917,James Caird,Able seaman,Irish,24
Walter How,How,How,Test25,1885,1972,Stancomb Wills,Able seaman,English,25
William Bakewell,Bakewell,Bakewell,Test26,1888,1969,Stancomb Wills,Able seaman,American,26
Thomas McLeod,McLeod,McLeod,Test27,1869,1960,Dudley Docker,Able seaman,Scottish,27
Perce Blackborow,Blackborow,Blackborow,Test28,1894,1949,Stancomb Wills,Steward,Welsh,28
Sir Daniel Gooch,Gooch,Gooch,Test29,1869,1926,N/A,Dog handler,Welsh,29
Mrs Chippy,Mrs Chippy,MrsChippy,Test30,Unknown,1915,N/A,Rat-catcher,Mackeral tabby (coat),30
